lit_id,title,arxiv_id,year,url,status,priority,module_tags,authors,why_matters,limitations
LIT-AMP-001,PepBenchmark: A Standardized Benchmark for Peptide Machine Learning,2604.10531,2026,https://arxiv.org/abs/2604.10531,included,must_read_now,"module_1,module_2,module_3,module_5,module_8","Jiahui Zhang; Rouyi Wang; Kuangqi Zhou; Tianshu Xiao; Lingyan Zhu; Yaosen Min; Yang Wang","Defines reusable benchmark and standardized preprocessing/splitting across 29 canonical + 6 non-canonical datasets for peptide ML, directly replacing ad-hoc preprocessing in seed data and validation code.","Single benchmark snapshot and early preprint; paper-reported results only (no external repo reproducibility logs in abstract)."
LIT-AMP-002,A Standardized Benchmark for Multilabel Antimicrobial Peptide Classification,2511.04814,2025,https://arxiv.org/abs/2511.04814,included,must_read_now,"module_1,module_2,module_3,module_5","Sebastian Ojeda et al.","Builds ESCAPE (80k peptides, 27 repositories) with cleaner positive/negative separation and hierarchical labels across bacterial/fungal/viral/parasitic activity; strong foundation for dataset construction and label ontology.","Preprint; public negative/positive split rules and external split strategy details need manual verification in PDF."
LIT-AMP-003,Prediction of Hemolysis Tendency of Peptides using a Reliable Evaluation Method,2012.06470,2020,https://arxiv.org/abs/2012.06470,included,useful_now,"module_2,module_3,module_4","Ali Raza; Hafiz Saud Arshad","Introduces explicit clustering-based split with <40% similarity guard for train/test to reduce sequence homology leakage in hemolysis classification tasks.","Outdated pre-deep learning split protocols; details should be revalidated against modern embeddings and updated hemolysis datasets."
LIT-AMP-004,AmpLyze: A Deep Learning Model for Predicting the Hemolytic Concentration,2507.08162,2025,https://arxiv.org/abs/2507.08162,included,must_read_now,"module_4,module_6,module_8","Peng Qiu; Hanqi Feng; Meng-Chun Zhang; Barnabas Poczos","Provides direct sequence-to-HC50 regression with residue-level interpretability via integrated embeddings; useful where current dataset has only toxic/non-toxic labels.","Cross-study assay harmonization and full dataset provenance are the main uncertainty in direct adoption."
LIT-AMP-005,HMAMP: Hypervolume-Driven Multi-Objective Antimicrobial Peptides Design,2405.00753,2024,https://arxiv.org/abs/2405.00753,included,useful_next,"module_5,module_4,module_6","Li Wang; Yiping Li; Xiangzheng Fu; Xiucai Ye; Junfeng Shi; Gary G. Yen; Xiangxiang Zeng","Reinforcement-learning hypervolume optimization for jointly balancing activity, hemolysis, and toxicity; practical blueprint for multi-objective objective combinations in generation.","Likely dataset and scoring details need full-text review to confirm assay unit consistency and false-positive control behavior."
LIT-AMP-006,MoFormer: Multi-Objective Antimicrobial Peptide Generation Based on Conditional Transformer Joint Multi-modal Fusion Descriptor,2406.02610,2024,https://arxiv.org/abs/2406.02610,included,useful_next,"module_5,module_4,module_2","Li Wang; Xiangzheng Fu; Jiahao Yang; Xinyi Zhang; Xiucai Ye; Yiping Liu; Tetsuya Sakurai; Xiangxiang Zeng","Transformer generator with conditional multi-modal descriptors for simultaneous multi-objective peptide optimization; directly informs score-guided generation and pareto-based ranking.","Potentially limited to specific benchmark definitions and synthetic splits; validate against your seed schema before merging into pipeline."
LIT-AMP-007,PepTune: De Novo Generation of Therapeutic Peptides with Multi-Objective-Guided Discrete Diffusion,2412.17780,2024,https://arxiv.org/abs/2412.17780,included,must_read_now,"module_5,module_4,module_6,module_8","Sophia Tang; Yinuo Zhang; Pranam Chatterjee","Shows practical discrete-space multi-objective control with MCTG guidance (exploration+exploitation) and chemically-modified peptide generation; strong match for design+selection loop.","Inferred dataset/task setup from abstract; full negative/positive split definitions and computational cost need manual confirmation."
LIT-AMP-008,Peptide-GPT: Generative Design of Peptides using Generative Pre-trained Transformers and Bio-informatic Supervision,2410.19222,2024,https://arxiv.org/abs/2410.19222,included,useful_now,"module_5,module_4,module_6,module_8","Aayush Shah; Chakradhar Guntuboina; Amir Barati Farimani","Provides explicit generation pipeline quality gates (perplexity filtering, convex hull filtering, ESMFold structure checks) and end-task classifers (hemolysis/non-fouling/solubility).","Abstract-level results only; no full split/label harmonization details in short metadata."
LIT-AMP-009,Artificial intelligence-driven antimicrobial peptide discovery,2308.10921,2023,https://arxiv.org/abs/2308.10921,included,useful_now,"module_1,module_8,module_5,module_4","Paulina Szymczak; Ewa Szczurek","Useful landscape review of discrimination/generation methods and practical controls (positive-only learning, discriminator filtering, latent-space sampling).","Review breadth is high but depth on raw benchmarks/standards is mixed and may include older/now-outdated baselines."
LIT-AMP-010,Target-Specific De Novo Peptide Binder Design with DiffPepBuilder,2405.00128,2024,https://arxiv.org/abs/2405.00128,included,useful_next,"module_9,module_7,module_1","Fanhao Wang; Yuzhe Wang; Laiyi Feng; Changsheng Zhang; Luhua Lai","End-to-end target-aware binder generation with synthetic sequence+structure dataset (PepPC-F), useful for binder workflow and manufacturability implications.","Synthetic dataset assumptions and target selection bias should be checked manually before applying directly to therapeutic use-cases."
