source,target,edge_type
TARGET-AMP-EX-01,HYP-AMP-EX-01,supports
HYP-AMP-EX-01,AMP_SRC_DBAASP_1001,generated
HYP-AMP-EX-01,AMP_SRC_DBAASP_690,generated
HYP-AMP-EX-01,AMP_SRC_DBAASP_763,generated
HYP-AMP-EX-01,AMP_SRC_CAMPSQ11798,generated
AMP_SRC_DBAASP_1001,RESULT-SIM-001,evaluated_by
AMP_SRC_DBAASP_690,RESULT-SIM-002,evaluated_by
AMP_SRC_DBAASP_763,RESULT-SIM-003,evaluated_by
AMP_SRC_DBAASP_1001,RESULT-SIM-1001,evaluated_by
AMP_SRC_DBAASP_690,RESULT-SIM-0690,evaluated_by
AMP_SRC_DBAASP_1004,RESULT-SIM-1004,evaluated_by
AMP_SRC_DBAASP_1011,RESULT-SIM-1011,evaluated_by
AMP_SRC_DBAASP_1001,CRO-REQ-1001,requested
AMP_SRC_DBAASP_690,CRO-REQ-0690,requested
AMP_SRC_DBAASP_1004,CRO-REQ-1004,requested
AMP_SRC_DBAASP_1011,CRO-REQ-1011,requested
AMP_SRC_DBAASP_1001,REDTEAM-1001,red_team_reviewed
AMP_SRC_DBAASP_690,REDTEAM-0690,red_team_reviewed
AMP_SRC_DBAASP_1004,REDTEAM-1004,red_team_reviewed
AMP_SRC_DBAASP_1011,REDTEAM-1011,red_team_reviewed
